"Sex" "Fat" "StorageTime" "Year"
"M" 0.349 583 2018
"F" 0.029 582 2018
"M" 0.258 588 2018
"M" 0.573 587 2018
"M" 2.652 578 2018
"M" 0.199 579 2018
"F" 3.313 539 2018
"M" 0.584 524 2018
"M" 0.835 539 2018
"M" 21.171 518 2018
"M" 0.016 520 2018
"F" 0.714 518 2018
"M" 0.711 520 2018
"F" 0.709 524 2018
"F" 14.458 523 2018
"M" 6.61 530 2018
"F" 1.214 517 2018
"F" 2.409 526 2018
"M" 1.2 522 2018
"F" 0.641 521 2018
"F" 2.924 516 2018
"F" 0.266 528 2018
"M" 0.11 515 2018
"M" 0.787 124 2013
"M" 0.5 511 2018
"M" 2.947 516 2018
"F" 0.081 510 2018
"M" 0.865 515 2018
"M" 0.959 522 2018
"M" 0.138 509 2018
"F" 0.386 505 2018
"F" 22.107 510 2018
"M" 3.988 514 2018
"F" 3.461 503 2018
"F" 0.516 513 2018
"M" 1.232 504 2018
"F" 3.375 508 2018
"M" 1.103 508 2018
"M" 0.255 507 2018
"M" 2.916 514 2018
"F" 0.954 503 2018
"M" 0.568 507 2018
"M" 1.262 514 2018
"F" 0.973 516 2018
"M" 0.115 513 2018
"M" 2.841 509 2018
"F" 0.098 509 2018
"M" 0.142 516 2018
"F" 2.348 509 2018
"M" 22.78 142 2013
"M" 0.462 512 2018
"M" 0.169 505 2018
"F" 0.49 511 2018
"F" 0.519 511 2018
"F" 0.71 511 2018
"M" 0.776 575 2018
"M" 1.159 575 2018
"M" 0.547 576 2018
"M" 6.889 583 2018
"M" 3.392 581 2018
"M" 3.065 580 2018
"F" 6.032 583 2018
"M" 1.298 574 2018
"M" 8.773 580 2018
"M" 3.958 576 2018
"M" 1.408 575 2018
"M" 3.379 581 2018
"F" 0.042 574 2018
"M" 1.151 578 2018
"F" 3.74 580 2018
"M" 0.844 580 2018
"F" 11.909 577 2018
"M" 29.902 570 2018
"M" 0.481 568 2018
"M" 0.593 574 2018
"M" 4.783 25 2013
"F" 7.269 538 2018
"F" 0.225 569 2018
"M" 0.641 562 2018
"M" 0.187 573 2018
"F" 0.03 567 2018
"F" 6.485 567 2018
"M" 2.352 9 2013
"M" 2.306 551 2018
"F" 1.816 566 2018
"F" 19.021 552 2018
"M" 0.101 561 2018
"F" 1.271 569 2018
"F" 0.6 560 2018
"F" 20.035 562 2018
"F" 1.662 565 2018
"M" 1.522 546 2018
"F" 0.645 564 2018
"M" 30.022 560 2018
"M" 0.085 567 2018
"M" 2.821 565 2018
"M" 0.953 556 2018
"F" 22.527 559 2018
"M" 0.026 554 2018
"F" 8.006 538 2018
"M" 1.246 553 2018
"F" 0.25 551 2018
"M" 3.838 546 2018
"M" 2.978 552 2018
"M" 0.224 538 2018
"F" 1.623 549 2018
"F" 1.291 546 2018
"F" 0.181 488 2018
"F" 0.024 482 2018
"M" 0.307 496 2018
"F" 4.126 496 2018
"M" 1.877 495 2018
"M" 0.242 479 2018
"F" 7.396 494 2018
"F" 0.398 475 2018
"F" 0.554 475 2018
"F" 16.224 481 2018
"F" 13.123 474 2018
"F" 0.62 480 2018
"M" 0.342 480 2018
"M" 20.815 473 2018
"M" 0.095 487 2018
"M" 17.484 473 2018
"M" 1.388 487 2018
"M" 6.596 473 2018
"M" 28.842 472 2018
"M" 7.425 480 2018
"F" 0.545 487 2018
"M" 5.526 487 2018
"F" 22.807 469 2018
"F" 1.2 478 2018
"F" 0.53 489 2018
"M" 0.133 477 2018
"M" 0.361 487 2018
"F" 0.216 1573 2013
"F" 0.955 466 2018
"F" 0.176 466 2018
"F" 18.09 475 2018
"F" 0.274 467 2018
"M" 6.961 470 2018
"F" 9.889 475 2018
"F" 2.955 460 2018
"M" 0.06 474 2018
"F" 4.253 479 2018
"M" 0.276 479 2018
"M" 5.383 459 2018
"M" 3.362 451 2018
"F" 1.545 467 2018
"M" 15.872 466 2018
"M" 16.653 469 2018
"M" 0.839 468 2018
"M" 4.014 458 2018
"F" 16.919 472 2018
"F" 36.001 459 2018
"F" 1.485 457 2018
"M" 1.616 453 2018
"F" 6.104 457 2018
"F" 0.367 467 2018
"M" 0.202 467 2018
"M" 32.226 452 2018
"M" 48.815 455 2018
"M" 2.981 455 2018
"F" 32.36 448 2018
"F" 8.337 450 2018
"F" 1.665 440 2018
"M" 0.862 441 2018
"F" 48.246 3 2013
"M" 72.028 441 2018
"F" 4.458 432 2018
"F" 3.601 3 2013
"M" 40.573 1 2013
"M" 1.095 500 2013
"F" 0.352 318 2013
"F" 4.335 4 2013
"F" 10.17 151 2013
"F" 113.58 159 2013
"M" 139.807 152 2013
"F" 12.936 1321 2013
"M" 5.058 152 2013
"M" 5.469 160 2013
"M" 3.572 160 2013
"F" 5.139 1462 2013
"M" 0.522 1322 2013
"F" 6.253 295 2013
"M" 201.17 154 2013
"M" 5.609 296 2013
"M" 6.423 17 2014
"M" 2 224 2014
"M" 11.328 5 2014
"M" 1.566 1 2014
"M" 2.152 5 2014
"F" 0.83 5 2014
"M" 4.4 7 2014
"F" 0.803 186 2014
"M" 2.816 189 2014
"F" 54.035 230 2014
"M" 2.741 5 2014
"F" 6.421 5 2014
"M" 0.894 7 2014
"F" 0.925 5 2014
"M" 7.14 2 2014
"F" 18.141 1 2014
"F" 34.39 23 2014
"F" 20.388 11 2014
"F" 7.051 218 2014
"M" 2.771 11 2014
"M" 3.001 13 2014
"M" 9.628 118 2014
"M" 5.99 364 2014
"M" 11.464 164 2014
"M" 2.369 52 2014
"F" 11.572 1040 2014
"F" 4.64 167 2014
"M" 4 153 2014
"F" 1.664 119 2014
"M" 1.382 168 2014
"M" 0.848 13 2014
"M" 9.62 13 2014
"F" 2.802 13 2014
"F" 4.495 13 2014
"F" 0.18 150 2014
"F" 0.674 105 2014
"F" 1.523 97 2014
"F" 12.299 70 2014
"M" 3.662 84 2014
"M" 11.512 70 2014
"F" 11.925 70 2014
"F" 2.1333 91 2014
"M" 5.685 99 2014
"M" 0.81 12 2014
"F" 10.388 91 2014
"F" 17.334 82 2014
"M" 11.464 56 2014
"F" 4.357 58 2014
"F" 5.05 62 2014
"M" 1.448 979 2014
"M" 0.86 979 2014
"M" 7.713 985 2014
"M" 10.249 1056 2014
"M" 11.123 1102 2014
"F" 15.633 74 2014
"M" 12.518 93 2014
"F" 3.124 100 2014
"F" 20.972 65 2014
"M" 4.403 43 2014
"M" 23.44 45 2014
"F" 4.264 45 2014
"F" 66.331 91 2014
"F" 9.846 91 2014
"F" 23.088 91 2014
"M" 22.077 13 2014
"F" 4.952 18 2014
"M" 4.445 11 2014
"M" 5.641 13 2014
"M" 6.686 18 2014
"M" 5.848 89 2014
"M" 3.392 138 2014
"M" 20.601 91 2014
"F" 14.368 312 2014
"M" 12.848 89 2014
"F" 11.273 84 2014
"M" 20.995 84 2014
